City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
321,Bontang,ID,0.1333,117.5,77.99,87,86,8.3,overcast clouds
322,Kurkino,RU,53.4257,38.6582,66.11,50,73,6.06,broken clouds
323,Norman Wells,CA,65.282,-126.8329,55.44,71,75,11.5,broken clouds
324,Ancud,CL,-41.8697,-73.8203,46.22,72,100,6.31,overcast clouds
325,Xuddur,SO,4.1213,43.8894,78.26,44,98,22.48,overcast clouds
326,Blagoyevo,RU,63.3667,47.9167,45.27,95,100,6.76,overcast clouds
327,Asfi,MA,32.2994,-9.2372,75.94,64,75,26.26,broken clouds
328,Olden,NO,61.8364,6.8064,78.12,52,45,6.58,scattered clouds
329,Kiama,AU,-34.6833,150.8667,56.68,61,69,1.01,light rain
330,Fairbanks,US,64.8378,-147.7164,62.1,95,90,8.05,moderate rain
331,Muros,ES,42.7762,-9.0603,74.08,74,31,6.33,scattered clouds
332,Kashi,CN,39.4547,75.9797,87.01,28,40,4.47,scattered clouds
333,Innisfail,AU,-17.5333,146.0333,65.34,86,15,4.12,few clouds
334,Aquiraz,BR,-3.9014,-38.3911,89.22,45,19,12.26,few clouds
335,Dingle,PH,10.9995,122.6711,77.99,84,98,11.1,overcast clouds
336,Nemuro,JP,43.3236,145.575,61.39,97,58,9.98,broken clouds
337,Jodhpur,IN,26.2867,73.03,96.73,41,100,6.2,moderate rain
338,Kaabong,UG,3.4836,34.1492,65.46,80,100,4.12,light rain
339,Port Lincoln,AU,-34.7333,135.8667,51.96,64,78,25.84,broken clouds
340,Washington,US,47.5001,-120.5015,73.62,40,0,2.59,clear sky
341,Necochea,AR,-38.5473,-58.7368,53.04,50,73,16.08,broken clouds
342,Tiznit,MA,29.5833,-9.5,94.8,23,92,6.53,overcast clouds
343,Chulym,RU,55.0997,80.9572,69.3,60,79,5.57,broken clouds
344,Lebu,CL,-37.6167,-73.65,51.82,74,21,9.22,few clouds
345,Misratah,LY,32.3754,15.0925,84.97,50,0,9.98,clear sky
346,Hirado,JP,33.3597,129.5531,78.39,75,98,5.88,overcast clouds
347,Great Yarmouth,GB,52.6083,1.7305,71.56,84,100,11.77,overcast clouds
